FACILITY,LAT,LONG,CATEGORY,PHONE,MEALS,PETS,CARTS
Covenant House,49.2754042223039,-123.126322529911,Youth (all genders),604-685-7474,yes,no,no
Aboriginal Shelter,49.2715743534663,-123.099346861579,Adults (all genders),604-347-0299,yes,yes,yes
Anchor of Hope,49.2821327941377,-123.101324923635,Adults (all genders),604-646-6899,yes,no,no
Yukon Shelter,49.2668908859729,-123.11236726194,Adults (all genders),604-264-1680,no,yes,no
Crosswalk,49.2818050804002,-123.107672478832,Adults (all genders),604-669-4349,no,no,no
Dusk to Dawn-Directions Youth Centre,49.2795671693397,-123.127792927078,Youth (all genders),604-633-1472,yes,no,no
New Fountain,49.2828738118386,-123.105225398756,Adults (all genders),604-331-1246,yes,yes,yes
Catholic Charities Men's Hostel,49.2777650064068,-123.114913417258,Men,604-443-3292,no,no,no
Lookout Downtown,49.2837440886413,-123.096207657871,Adults (all genders),604-681-9126,no,yes,no
Vineyard Church,49.2693356609832,-123.070551901448,Adults (all genders),604-255-4463,yes,no,no
Grandview Calvary Baptist Church,49.2697474520736,-123.067356357987,Adults (all genders),604-255-1411,yes,no,no
Belkin House,49.2824583823588,-123.112939685345,Adults (all genders),604-681-3405,no,no,no
Union Gospel Mission,49.2818717041335,-123.090986046798,Men,604-253-3323,yes,no,no
Triage,49.2832570142586,-123.089140653353,Adults (all genders),604-254-3700,no,no,no
The Haven,49.2821349512488,-123.101429426307,Men,604-646-6800,no,no,no
Anchor of Hope,49.2821315364482,-123.101220422812,Adults (all genders),604-646-6899,yes,no,no
The Beacon,49.2820397545483,-123.100913161934,Men,604-646-6846,no,no,no
First Baptist Church,49.2818511556925,-123.126458247518,Adults (all genders),604-683-8441,yes,no,no
First United Church,49.2809665379675,-123.097065334772,Adults (all genders),604-681-8365,yes,yes,yes
Tenth Avenue Church,49.2623383061239,-123.105860462078,Adults (all genders),604-876-2181,yes,no,no
Anchor of Hope,49.2820439257224,-123.101115057949,Adults (all genders),604-646-6899,yes,no,no
