STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,LATITUDE,LONGITUDE,DETAILURL
320,ABBOTT STREET,60,0707892 BC Ltd,1,49.282614129999999,-123.106647560000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT STREET
351,ABBOTT STREET,125,PHS Community Services Society,1,49.282715650000000,-123.108077339999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=ABBOTT STREET
404,ABBOTT STREET,71,Central City Foundation,14,49.281684900000002,-123.107135590000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT STREET
1656,ADANAC STREET,46,Entre Nous Femmes Housing Society,2,49.277334060000001,-123.072001869999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1656&street=ADANAC STREET
1785,ADANAC STREET,5,Lily Jang,1,49.277802880000003,-123.068787220000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC STREET
58,ALEXANDER STREET,30,City of Vancouver,3,49.283442610000002,-123.102716300000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=58&street=ALEXANDER STREET
176,ALEXANDER STREET,77,Affordable Housing Advisory Association,1,49.283789010000000,-123.100607830000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=176&street=ALEXANDER STREET
346,ALEXANDER STREET,63,Lookout Housing and Health Society,2,49.283769780000000,-123.096325890000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=346&street=ALEXANDER STREET
658,ALEXANDER STREET,19,Rose Hotels Ltd,11,49.283652990000000,-123.090052160000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=658&street=ALEXANDER STREET
688,ALEXANDER STREET,9,Railtown Land Corporation,4,49.283649550000000,-123.089842460000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=688&street=ALEXANDER STREET
1646,ALMA STREET,5,Marjorie D Ross & Andrew A Ross,1,49.271504909999997,-123.185327169999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1646&street=ALMA STREET
1520,AVERY AVENUE,8,Me Jing Investments Ltd,4,49.207724560000003,-123.141575940000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1520&street=AVERY AVENUE
1534,BALSAM STREET,10,Hillary Ling & Stella Ling,6,49.272011470000002,-123.159518840000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1534&street=BALSAM STREET
1460,BARCLAY STREET,109,Barclay Properties Ltd,2,49.286930660000003,-123.133324450000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1460&street=BARCLAY STREET
1710,BARCLAY STREET,23,Kunsun Holdings Ltd,1,49.288975190000002,-123.136484530000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1710&street=BARCLAY STREET
1865,BARCLAY STREET,40,Tang Realty Development Corp,2,49.290887249999997,-123.138276750000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1865&street=BARCLAY STREET
1395,BEACH AVENUE,91,Bonniehon Enterprises Ltd,2,49.281633050000003,-123.139028710000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1395&street=BEACH AVENUE
1260,BIDWELL STREET,76,Glassman Holdings Ltd,1,49.285076470000000,-123.141204880000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=BIDWELL STREET
2210,BLENHEIM STREET,8,Norman Estates Ltd,5,49.266519780000003,-123.177493119999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2210&street=BLENHEIM STREET
1091,BROUGHTON STREET,40,S A H Properties Ltd,2,49.285018059999999,-123.134663919999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1091&street=BROUGHTON STREET
650,BUCKETWHEEL,45,The Vancouver Broadway Housing Society,1,49.267690920000000,-123.118189650000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=650&street=BUCKETWHEEL
1068,BURNABY STREET,23,Thurlow Street Project Nominee Inc,6,49.279238069999998,-123.132191160000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1068&street=BURNABY STREET
1150,BURNABY STREET,176,Paul Y Mansion (Paul Mansion),3,49.280494670000003,-123.134133890000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=BURNABY STREET
1270,BURNABY STREET,22,1270 Burnaby Street Holdings Ltd,1,49.281657289999998,-123.135900750000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1270&street=BURNABY STREET
1516,BURNABY STREET,23,1035412 BC Ltd,1,49.283798370000000,-123.139239170000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=BURNABY STREET
1521,BURNABY STREET,43,Simay Investments Ltd,1,49.284182680000001,-123.138671610000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1521&street=BURNABY STREET
1630,BURNABY STREET,21,FZN Burnaby Apartments Ltd,2,49.284690390000002,-123.140612540000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1630&street=BURNABY STREET
601,BUTE STREET,23,Huntly Investments Ltd,5,49.287781959999997,-123.124664080000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE STREET
990,BUTE STREET,36,Belmont Bute 990 Holdings Inc,1,49.283948860000002,-123.129701049999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=990&street=BUTE STREET
317,CAMBIE STREET,18,Danny's Inn Ltd,2,49.283232980000001,-123.109504000000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=317&street=CAMBIE STREET
322,CAMBIE STREET,9,Philip Swartz & Shirley Swartz,46,49.282912179999997,-123.109163950000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=322&street=CAMBIE STREET
