COUNT,LATITUDE,LONGITUDE
1,49.2238602,-123.0904255
5,49.26131589,-123.1139357
4,49.28328122,-123.1134863
2,49.2630182,-123.1201315
10,49.26279451,-123.0923838
10,49.26279573,-123.0925276
1,49.26588693,-123.1082242
1,49.26318465,-123.1853592
2,49.29116564,-123.1322237
8,49.26497349,-123.1375141
5,49.24216877,-123.0596631
10,49.2387985,-123.0649746
7,49.26276417,-123.0886586
4,49.26386496,-123.1716457
1,49.28428105,-123.109868
1,49.28431784,-123.1099595
12,49.28472972,-123.1096104
2,49.28068881,-123.131126
9,49.28058225,-123.0969878
9,49.28058404,-123.0971035
9,49.28058754,-123.0972136
6,49.28104893,-123.1007403
6,49.28105063,-123.1008504
1,49.28156691,-123.0962145
3,49.27815854,-123.129112
3,49.27820718,-123.1290442
6,49.28137249,-123.1334276
1,49.27891384,-123.1285435
1,49.27899556,-123.1286661
1,49.27907145,-123.1287756
1,49.27909375,-123.1285301
1,49.27916593,-123.1285007
3,49.26463265,-123.1389425
3,49.26471496,-123.1389406
3,49.26479681,-123.1389388
1,49.26971884,-123.0984272
1,49.25451161,-123.1156444
1,49.28341464,-123.098524
2,49.26397846,-123.1437434
1,49.25088579,-123.0995678
7,49.27260868,-123.1486393
7,49.27268785,-123.1486281
5,49.26376286,-123.1389763
5,49.26382898,-123.1389717
5,49.26389825,-123.1389698
1,49.28014154,-123.1095582
1,49.2633996,-123.1460241
1,49.26871895,-123.0334489
4,49.2814933,-123.0922084
2,49.24507915,-123.0663063
3,49.24981994,-123.074489
3,49.24369012,-123.1009332
3,49.24376074,-123.100932
1,49.24407872,-123.100921
1,49.27960632,-123.0677816
1,49.26238561,-123.0975825
7,49.24834752,-123.0905226
1,49.26786432,-123.0437712
3,49.28191565,-123.069971
3,49.28191825,-123.0701331
5,49.27370226,-123.0570449
2,49.23070947,-123.091023
4,49.26738313,-123.0700302
2,49.22698634,-123.0911097
1,49.22876577,-123.0902833
2,49.23911288,-123.0649979
8,49.23559109,-123.0658782
4,49.28211801,-123.10952
1,49.27412078,-123.1244479
2,49.28155342,-123.1181207
2,49.28203192,-123.1181638
4,49.20500791,-123.1230615
3,49.27975613,-123.1032823
1,49.20705622,-123.130036
7,49.28148771,-123.09189
1,49.2857562,-123.1293814
1,49.28580135,-123.1294602
1,49.28586057,-123.1295188
1,49.2685424,-123.1651013
1,49.25937431,-123.0797327
2,49.27004321,-123.0872039
1,49.26625511,-123.0726621
1,49.28777359,-123.1313155
2,49.28085108,-123.0290937
1,49.25231237,-123.0649317
12,49.26265341,-123.1020321
12,49.26265774,-123.1022142
1,49.26435006,-123.1697733
5,49.25841317,-123.0460532
5,49.28183005,-123.1340476
1,49.26666486,-123.106958
1,49.26676741,-123.1069575
1,49.26689154,-123.1069544
2,49.26772589,-123.1438646
3,49.26322419,-123.1005984
3,49.26216761,-123.090036
7,49.26216637,-123.0898979
2,49.27994596,-123.111237
11,49.28177166,-123.0865317
1,49.24771556,-123.1855521
1,49.29113113,-123.1441254
1,49.29121731,-123.1442605
1,49.24251498,-123.0648843
1,49.24363428,-123.0627027
9,49.28182225,-123.1079141
9,49.2818415,-123.1080145
3,49.28417829,-123.1067853
3,49.26683341,-123.1103631
3,49.26683635,-123.1105752
2,49.27149576,-123.0652566
1,49.2753208,-123.133399
7,49.28064952,-123.1040792
2,49.28908213,-123.124758
3,49.28282627,-123.1096467
3,49.28292568,-123.1096366
3,49.28297328,-123.1097109
3,49.28313568,-123.1096674
1,49.28809696,-123.1261507
1,49.28822538,-123.1263449
1,49.28824469,-123.1217928
1,49.26911929,-123.032033
1,49.28414374,-123.1007619
5,49.28321737,-123.0874796
1,49.26927892,-123.0984513
2,49.28279753,-123.0928688
2,49.28279924,-123.0929733
2,49.28280141,-123.0930778
2,49.28280313,-123.0931767
17,49.2621579,-123.088654
2,49.22106467,-123.0662573
1,49.26891462,-123.1037972
1,49.26546204,-123.0951763
5,49.28076083,-123.0856347
1,49.28352771,-123.0669388
2,49.28792531,-123.1404026
2,49.28801046,-123.1402708
2,49.28809787,-123.140146
3,49.26295376,-123.0709011
1,49.28828622,-123.1398536
4,49.25946503,-123.0779627
1,49.26791914,-123.1563423
3,49.24281543,-123.0615465
1,49.26351106,-123.2068484
2,49.26409805,-123.2098183
3,49.27922657,-123.1284049
2,49.28042851,-123.1318356
2,49.21326411,-123.1399671
2,49.21335362,-123.1399619
2,49.26831316,-123.1485269
1,49.26178773,-123.0979675
2,49.28186506,-123.065841
8,49.26780352,-123.1489218
1,49.26579302,-123.1031019
1,49.26586011,-123.1031163
8,49.28261036,-123.1146294
8,49.28265946,-123.1145574
1,49.23594434,-123.1558772
1,49.23601451,-123.155874
4,49.26344324,-123.1488119
1,49.23435057,-123.1593276
1,49.287872,-123.1282303
2,49.2496577,-123.0765343
3,49.24226402,-123.0598447
12,49.25284648,-123.0821571
12,49.25285401,-123.0823186
12,49.25292225,-123.0825084
12,49.25299185,-123.0826658
8,49.25128426,-123.0790817
4,49.25294886,-123.0810826
2,49.26072729,-123.1538011
1,49.27923193,-123.0784762
1,49.27923336,-123.0783523
1,49.25398278,-123.0908454
13,49.28067529,-123.0795243
3,49.27968796,-123.0757116
1,49.28008896,-123.0757108
5,49.27997569,-123.0764256
2,49.26271577,-123.0824171
8,49.2734212,-123.0779968
3,49.23965386,-123.0540339
3,49.23970688,-123.0541438
1,49.23527121,-123.090114
1,49.23536206,-123.0901107
1,49.23545247,-123.0901067
1,49.23554333,-123.0900978
7,49.25244129,-123.0814356
1,49.22415869,-123.0653572
4,49.28394681,-123.1143102
2,49.26628734,-123.1090265
4,49.2865813,-123.1228169
2,49.29108103,-123.1364306
4,49.22840893,-123.0910787
4,49.22850382,-123.0910788
3,49.29076887,-123.1360625
3,49.29089458,-123.135869
7,49.25845387,-123.0449553
21,49.26383562,-123.170387
21,49.26384189,-123.1705827
21,49.26384823,-123.1708003
6,49.24924164,-123.1014374
2,49.25410252,-123.101261
2,49.25419338,-123.1012577
2,49.25437111,-123.1011608
2,49.25440381,-123.1013126
6,49.28758212,-123.1300374
1,49.26792361,-123.0971112
4,49.26790597,-123.0992247
8,49.27929489,-123.0992668
2,49.27782725,-123.0708855
8,49.26335992,-123.1131426
2,49.27608931,-123.0763205
2,49.27608946,-123.0760964
2,49.27609294,-123.0765559
2,49.24044423,-123.064955
2,49.24052924,-123.0649468
2,49.28975353,-123.1300603
2,49.28994121,-123.1303477
2,49.29007006,-123.1305502
2,49.29019711,-123.1307545
1,49.25167871,-123.0906054
1,49.28663217,-123.1121893
9,49.25313464,-123.0830035
1,49.26610986,-123.0746117
4,49.26489989,-123.0700939
2,49.28486208,-123.1170567
2,49.28491763,-123.1170151
1,49.21152061,-123.0903437
5,49.28019348,-123.1210109
5,49.28024303,-123.1209375
2,49.282659,-123.1123364
2,49.28271201,-123.1124035
8,49.27917669,-123.0980226
2,49.28896784,-123.1407758
1,49.20289815,-123.1277698
2,49.23373408,-123.1156258
2,49.23391175,-123.115618
3,49.20426691,-123.1272413
1,49.24886467,-123.1271096
1,49.20684957,-123.1238627
2,49.27573742,-123.126941
2,49.27603911,-123.1264714
2,49.24630779,-123.0907241
3,49.24678679,-123.0898112
2,49.26215728,-123.1508745
2,49.26545559,-123.1554871
1,49.25981143,-123.0685271
1,49.26808049,-123.1675669
1,49.2804282,-123.0888965
1,49.20238535,-123.1338711
1,49.27882075,-123.0367787
3,49.25826222,-123.1846511
3,49.25826381,-123.1847858
3,49.25826764,-123.184924
4,49.27910475,-123.1298125
1,49.26756826,-123.0732861
1,49.2782474,-123.1251358
12,49.2817384,-123.1047593
12,49.28173878,-123.1048452
12,49.28181535,-123.1047141
10,49.28355627,-123.1062859
4,49.26809335,-123.1686163
2,49.26597537,-123.0693229
3,49.26730657,-123.0692936
1,49.26221777,-123.033305
1,49.26628997,-123.0642463
1,49.2684068,-123.153912
1,49.26840847,-123.1540145
5,49.28139684,-123.0280718
3,49.26310247,-123.1270933
6,49.28085913,-123.0452857
6,49.28087743,-123.0460822
3,49.26908729,-123.0692556
3,49.26917771,-123.0692537
1,49.28655141,-123.1209158
1,49.25606401,-123.1847512
14,49.27880594,-123.0988265
4,49.28341115,-123.0981051
3,49.28288166,-123.0971912
7,49.25691711,-123.0910309
6,49.26284422,-123.1103002
1,49.26293767,-123.0571209
1,49.26301278,-123.0571189
2,49.28242189,-123.1273431
1,49.2188866,-123.1022863
4,49.2827829,-123.0920443
1,49.27810185,-123.0885479
3,49.2815095,-123.092378
1,49.2295474,-123.0519755
1,49.28415333,-123.1146032
2,49.28207211,-123.0810157
1,49.27590544,-123.0822702
1,49.275972,-123.0822662
1,49.27604352,-123.0822643
1,49.27608823,-123.0817599
1,49.27611143,-123.0822596
1,49.2761798,-123.082259
1,49.27624951,-123.0822577
1,49.27631608,-123.0822544
1,49.27637774,-123.0818182
1,49.27638399,-123.0822518
1,49.27644476,-123.0818196
1,49.27645326,-123.0822498
1,49.27649963,-123.0818127
1,49.27653782,-123.0822387
1,49.27658271,-123.0818636
1,49.27659269,-123.0822389
1,49.27660692,-123.0819601
1,49.2766552,-123.0818805
1,49.27666241,-123.0822304
1,49.27670578,-123.0818496
1,49.27671341,-123.0822291
1,49.28326903,-123.1121874
2,49.28233634,-123.0836475
2,49.28542386,-123.1266926
3,49.24736967,-123.1844461
2,49.26785576,-123.1686912
3,49.26440893,-123.1731306
1,49.22485968,-123.0649035
1,49.26597425,-123.1421318
4,49.25785832,-123.1392058
5,49.27043854,-123.1481133
1,49.29119616,-123.1420752
1,49.29128415,-123.1422173
1,49.25846326,-123.0778175
4,49.28739581,-123.1297359
1,49.22455583,-123.1012701
1,49.24630589,-123.101958
5,49.23368082,-123.034526
3,49.28156349,-123.0960041
2,49.26086332,-123.1162861
16,49.26372904,-123.1854258
1,49.24491161,-123.0895143
1,49.26445518,-123.1769721
9,49.25349163,-123.0675863
2,49.28287778,-123.0969815
8,49.28067964,-123.0797333
1,49.28480308,-123.1100259
2,49.28854662,-123.1258438
9,49.27771178,-123.1259495
9,49.27776044,-123.1258754
1,49.28340384,-123.1125169
6,49.27440122,-123.0810787
6,49.25663346,-123.0890257
6,49.25681755,-123.0891912
6,49.25682614,-123.0893676
5,49.27083437,-123.0861029
1,49.25955184,-123.1391414
5,49.26676844,-123.1422015
5,49.26677963,-123.1418826
6,49.28165857,-123.1006053
1,49.28623371,-123.1159194
1,49.28628356,-123.1159909
2,49.26534166,-123.1064986
3,49.28189653,-123.0930122
7,49.28152536,-123.0690703
7,49.28152705,-123.0692539
2,49.28609827,-123.1416223
1,49.28578741,-123.1389114
1,49.24632284,-123.0910225
5,49.25520632,-123.0894645
2,49.26333331,-123.0961633
1,49.27117006,-123.0712467
3,49.27785562,-123.0986381
3,49.27789596,-123.0986379
1,49.2850871,-123.1129739
1,49.28513874,-123.1130511
5,49.27919202,-123.0987107
5,49.27919642,-123.0988165
1,49.28462563,-123.1134309
3,49.2342241,-123.1008232
3,49.27778852,-123.067827
2,49.27726034,-123.0675114
2,49.27724139,-123.0660915
1,49.25674995,-123.0438529
2,49.27407007,-123.069967
2,49.27415822,-123.069963
1,49.27969583,-123.0744136
1,49.27969715,-123.0747202
1,49.27969796,-123.0748577
1,49.27969814,-123.0745786
1,49.27969877,-123.0749965
1,49.27969958,-123.0751353
1,49.27970299,-123.075427
1,49.27970308,-123.0752854
1,49.2797047,-123.0755645
1,49.28194282,-123.0715901
1,49.28194345,-123.071728
1,49.28194373,-123.0719996
1,49.28194382,-123.0718648
1,49.27830127,-123.0765123
3,49.28091415,-123.069062
5,49.23239617,-123.0774775
1,49.28871398,-123.1371678
1,49.23914616,-123.0529252
7,49.28141126,-123.0878868
7,49.28141297,-123.0879913
1,49.29137266,-123.1347131
1,49.28834788,-123.1221749
1,49.27861771,-123.1195546
1,49.27866908,-123.1194736
1,49.27871727,-123.1194064
1,49.27876593,-123.1193232
3,49.27924501,-123.1205144
3,49.27929096,-123.1204451
3,49.27934006,-123.1203717
3,49.27938602,-123.1202974
3,49.24543929,-123.1008551
3,49.2455054,-123.1008532
3,49.24557017,-123.1008471
3,49.24771605,-123.1007464
8,49.24800933,-123.1007085
2,49.24969176,-123.1006213
7,49.26286971,-123.1126679
2,49.26850251,-123.1051004
2,49.26854566,-123.105135
2,49.26854997,-123.1053369
2,49.26855247,-123.1055517
2,49.26855497,-123.105762
6,49.28453571,-123.0627669
2,49.27883701,-123.1280647
8,49.28167205,-123.1015371
8,49.28167482,-123.1016657
5,49.26861305,-123.1678518
1,49.28154491,-123.0950944
1,49.28154706,-123.0952046
2,49.28161237,-123.0988087
1,49.28160463,-123.0983951
6,49.28066328,-123.1009663
1,49.28240508,-123.0926254
2,49.28249618,-123.0911935
2,49.28794825,-123.1411424
1,49.28782029,-123.1413346
5,49.28858492,-123.140174
1,49.26856756,-123.1648063
1,49.28109709,-123.1188201
1,49.28938579,-123.1338153
1,49.28942889,-123.1338765
1,49.28951194,-123.1340102
1,49.28955504,-123.1340714
8,49.28106214,-123.1015833
8,49.2810643,-123.1016821
8,49.28166288,-123.1008198
8,49.28166413,-123.1009243
8,49.28176351,-123.1007373
1,49.2512512,-123.0905709
7,49.28206703,-123.1024397
7,49.28207009,-123.1025442
1,49.26153263,-123.1116859
1,49.28068302,-123.1322714
4,49.26317613,-123.1025251
4,49.2634604,-123.1025011
2,49.27982953,-123.1309637
4,49.27860382,-123.1233932
4,49.22884988,-123.0902772
1,49.27653565,-123.1255623
8,49.26313778,-123.1296705
8,49.26314205,-123.129878
8,49.26314495,-123.1300862
13,49.2785497,-123.1246985
19,49.25420234,-123.0852948
19,49.25428924,-123.0854061
2,49.27738152,-123.1273306
1,49.22426977,-123.101284
1,49.2625914,-123.1532359
1,49.26259456,-123.1534322
2,49.28054964,-123.1363655
5,49.26918085,-123.0781568
1,49.27924681,-123.1255314
2,49.28508079,-123.1147685
1,49.27891384,-123.1285435
1,49.27899556,-123.1286661
1,49.27907145,-123.1287756
1,49.27909375,-123.1285301
1,49.27916593,-123.1285007
2,49.25740257,-123.0902361
2,49.25740516,-123.0903694
2,49.25744526,-123.0905096
6,49.28187039,-123.1081611
6,49.28189518,-123.1083164
6,49.28191533,-123.1084134
1,49.27886684,-123.1248911
1,49.27893805,-123.124918
1,49.2789867,-123.1248438
1,49.27904069,-123.1247494
1,49.27908402,-123.1246956
1,49.27913268,-123.1246157
1,49.27913624,-123.1244862
1,49.27916012,-123.1244485
1,49.27923044,-123.1244624
1,49.2792791,-123.1243883
1,49.27934578,-123.1243615
3,49.26434758,-123.1696235
1,49.27476652,-123.0719512
1,49.2756486,-123.0737717
1,49.25846925,-123.0786703
5,49.27636481,-123.1279826
5,49.27641346,-123.1279065
1,49.23234285,-123.031443
10,49.27648343,-123.0984656
7,49.28250116,-123.0777769
7,49.28250326,-123.0779976
7,49.28250442,-123.0782796
7,49.28270997,-123.0775945
7,49.28276082,-123.078218
7,49.28276835,-123.078394
1,49.26394207,-123.1191992
2,49.27225268,-123.1547368
4,49.26219829,-123.0936278
2,49.27796806,-123.1235518
1,49.26331313,-123.09931
1,49.26384727,-123.1364066
1,49.26686677,-123.141254
5,49.28168081,-123.1020015
2,49.28869242,-123.130564
10,49.26747727,-123.1004175
10,49.26757999,-123.100226
10,49.26767894,-123.1002221
15,49.28144094,-123.0610619
1,49.28069624,-123.1028529
3,49.28327897,-123.0903892
6,49.25900629,-123.1153802
6,49.28266901,-123.1104072
6,49.28271573,-123.1104695
6,49.2720588,-123.1435773
6,49.23038493,-123.0902388
6,49.23047399,-123.0902342
4,49.27259806,-123.1481546
4,49.27267945,-123.1481613
1,49.26070686,-123.0678116
8,49.28296156,-123.1009767
8,49.28296327,-123.1010798
1,49.28075624,-123.1237201
1,49.28127633,-123.122837
1,49.28139972,-123.1231053
1,49.28178696,-123.1221115
1,49.28287884,-123.1204614
5,49.2630678,-123.1250844
5,49.26307117,-123.1252954
5,49.26307319,-123.1255023
5,49.26307701,-123.1257126
5,49.26461792,-123.1381151
5,49.26470292,-123.1381133
4,49.22576764,-123.0903794
4,49.22585985,-123.0903714
4,49.22595969,-123.0903722
3,49.25601779,-123.1855287
7,49.24400266,-123.0634753
7,49.24407679,-123.0636306
2,49.26282282,-123.0936225
3,49.2803014,-123.1316832
7,49.26303233,-123.0978334
7,49.26305945,-123.0976839
3,49.26611587,-123.0996917
1,49.28116143,-123.121573
6,49.26373912,-123.1861468
2,49.274339,-123.1092694
2,49.2751403,-123.1100721
17,49.2761869,-123.099356
17,49.27621288,-123.0994807
17,49.27628169,-123.0994768
3,49.26985485,-123.1011091
2,49.28108362,-123.1251133
6,49.26352663,-123.2079487
6,49.26352863,-123.2080903
6,49.26353704,-123.2078356
1,49.28000256,-123.0690897
1,49.2334438,-123.1259912
1,49.27546555,-123.0664235
1,49.28279804,-123.0678093
1,49.2750175,-123.0593842
1,49.28341635,-123.0758741
1,49.28343451,-123.0756225
1,49.28345171,-123.0754555
1,49.28346758,-123.0752651
1,49.28435262,-123.0689934
1,49.28438062,-123.0688085
1,49.28440861,-123.0686215
1,49.28443571,-123.0684453
9,49.26350566,-123.2065955
9,49.25383142,-123.0845239
9,49.25388261,-123.084636
9,49.25396125,-123.0847213
1,49.26355279,-123.2101534
1,49.26355435,-123.2102895
8,49.28301264,-123.108859
1,49.25032102,-123.0420778
3,49.2785739,-123.1292954
3,49.27862256,-123.1292212
3,49.27867122,-123.1291478
3,49.27871987,-123.1290737
3,49.27876852,-123.1289946
1,49.24089999,-123.0552627
1,49.24095031,-123.055372
1,49.27423129,-123.1233133
