ID,Address,BuildingName,Street_Nbr,Street,VHR,Designation,Zoning,LocalArea,Land_Coord,HRA_HCC,Latitude,Longitude
1,36 BLOOD ALLEY SQUARE,,36,BLOOD ALLEY SQUARE,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917265,,49.2828738098464,-123.105225398754
2,2723 WOODLAND DRIVE,,2723,WOODLAND DRIVE,B,,RT-5                ,KENSINGTON-CEDAR COT,23466523,,49.2600769493209,-123.074046917561
3,2080 W 36TH AV,,2080,W 36TH AV,C,,RS-5                ,SHAUGHNESSY         ,73709116,,49.2389033094729,-123.154237368533
4,866 E BROADWAY,,866,E BROADWAY,B,,RM-4N               ,MOUNT PLEASANT      ,65021270,,49.2621356773046,-123.085603327158
5,1417 W 11TH AV,,1417,W 11TH AV,C,M,RM-3                ,FAIRVIEW            ,66413085,H,49.261948887911,-123.136713198289
6,2625 W 2ND AV,,2625,W 2ND AV,B,,RT-8                ,KITSILANO           ,63607267,,49.2703621626003,-123.165116703005
7,4208 W 13TH AV,,4208,W 13TH AV,B,,RS-1                ,WEST POINT GREY     ,68302794,,49.2606925359374,-123.200353485935
8,641 E GEORGIA ST,INFILL DWELLING   ,641,E GEORGIA ST,,M,RT-3                ,STRATHCONA          ,59619841,,49.2786667720091,-123.090587526348
9,309 CARRALL ST,,309,CARRALL ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917296,,49.2822373252557,-123.104605551032
10,16 E CORDOVA ST,,16,E CORDOVA ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917808,,49.2821072095572,-123.10372797221
11,41 ALEXANDER ST,,41,ALEXANDER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,57917851,,49.2837155646342,-123.103377016628
12,863 PRIOR ST,,863,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60021263,,49.2767739198248,-123.085930253544
13,2059 W 6TH AV,RADELET HOUSE     ,2059,W 6TH AV,C,,RM-4                ,KITSILANO           ,64309045,,49.26662164168,-123.151933029084
14,2016 FERNDALE ST,,2016,FERNDALE ST,C,,RS-7                ,GRANDVIEW-WOODLAND  ,59325516,,49.2794657561572,-123.063208710363
15,405 E KING EDWARD AV,,405,E KING EDWARD AV,B,,RS-1                ,RILEY PARK          ,71019711,,49.2488963433254,-123.096461841129
16,166 E 11TH AV,,166,E 11TH AV,B,,C-3A                ,MOUNT PLEASANT      ,19066407,,49.2609784008856,-123.101473347686
17,4586 W 6TH AV,,4586,W 6TH AV,B,,RS-1                ,WEST POINT GREY     ,64302214,,49.2670530851052,-123.211483186902
18,4525 HEATHER ST,MATHESON PAVILION ,4525,HEATHER ST,B,,CD-1                ,SOUTH CAMBIE        ,71715004,,49.2445543458304,-123.123822766676
19,1001 NICOLA ST,FIREHALL NO.6     ,1001,NICOLA ST,A,M,RM-5                ,WEST END            ,60611496,,49.2864877384541,-123.134786341693
20,1203 MATTHEWS AV,,1203,MATTHEWS AV,C,,FSD                 ,SHAUGHNESSY         ,70214637,,49.2541730914596,-123.1330445123
21,2704 W 12TH AV,,2704,W 12TH AV,B,,RS-5                ,KITSILANO           ,67807094,,49.261081209035,-123.166573329861
22,2722 W 4TH AV,,2722,W 4TH AV,B,,C-2                 ,KITSILANO           ,64007074,,49.268078534333,-123.167061971528
23,172 E CORDOVA ST,,172,E CORDOVA ST,C,,DEOD                ,CENTRL BUSNES/DWNTWN,19058905,,49.2821424215533,-123.100091478798
24,2054 TRAFALGAR ST,,2054,TRAFALGAR ST,C,,RT-8                ,KITSILANO           ,07364054,,49.2677970602161,-123.164204260977
25,120 JACKSON AV,SAILORS HOME      ,120,JACKSON AV,B,,DEOD                ,STRATHCONA          ,57919602,,49.2837081777753,-123.093083375939
26,3979 W BROADWAY,LEA HOUSE         ,3979,W BROADWAY,B,M,RS-1                ,WEST POINT GREY     ,65003413,H,49.2651239730934,-123.192598944437
27,3136 W 12TH AV,,3136,W 12TH AV,C,,RS-5                ,KITSILANO           ,67805366,,49.2612184949035,-123.17481208355
28,150 W HASTINGS ST,,150,W HASTINGS ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,59015738,,49.282005258295,-123.108909373286
29,819 PRIOR ST,,819,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60021231,,49.276785061407,-123.086561317598
30,150 WATER ST,,150,WATER ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,58015750,,49.2838247993913,-123.107751677666
31,1936 W 12TH AV,,1936,W 12TH AV,C,,RT-8                ,KITSILANO           ,67009566,,49.2606527595894,-123.149132779973
32,646 RICHARDS ST,HOLY ROSARY CATHED,646,RICHARDS ST,A,M,DD                  ,CENTRL BUSNES/DWNTWN,13859504,,49.2820700840993,-123.114304217803
33,3690 SELKIRK ST,,3690,SELKIRK ST,B,,FSD                 ,SHAUGHNESSY         ,14670232,,49.2530650034114,-123.131956476215
34,2425 BRUNSWICK ST,G W LEDINGHAM HSE ,2425,BRUNSWICK ST,A,,CD-1                ,MOUNT PLEASANT      ,64819496,,49.2633694494103,-123.097544710202
35,1122 BUTE ST,,1122,BUTE ST,B,,RM-5B               ,WEST END            ,11860796,,49.2824700886464,-123.131980978598
