NODE_NUMBER,LAT,LONG,BLOCK_NUMBER
1,49.2678128146707,-123.162324988189,20
2,49.2554200308521,-123.164303441137,26
3,49.2555499673319,-123.164940708487,26
1,49.2555411740844,-123.163704551483,26
3,49.2550272963661,-123.164217031879,25
1,49.2550311396586,-123.163320610485,25
2,49.2550397663404,-123.163758906708,25
6,49.2494750376237,-123.100892983293,39
2,49.2491881601068,-123.100905232449,40
5,49.2489134798837,-123.101144032904,40
3,49.2491902746116,-123.101130843981,40
1,49.2494371200432,-123.101122416729,40
4,49.2488928563103,-123.100904589409,40
1,49.2490912187289,-123.100305876395,40
1,49.2866711999816,-123.058526619504,72
2,49.2865614226326,-123.059180707091,72
4,49.2865546516064,-123.057879689661,72
4,49.2861428414739,-123.058099386755,72
2,49.2861402400886,-123.058849494297,72
1,49.2861423194941,-123.059128447171,72
3,49.2861404214469,-123.058492301607,72
5,49.2861462879332,-123.057881686818,72
1,49.2662225895052,-123.136701432277,14
3,49.2662366675505,-123.137640498812,14
4,49.2660973937538,-123.137164853366,14
2,49.2660919966041,-123.136206803742,14
6,49.2661247398167,-123.138123266869,14
0.6,49.2661094657531,-123.13621404063,14
0.5,49.2661994173199,-123.136229696777,14
5,49.2662252522967,-123.138251063061,14
1,49.2563455552884,-123.100693976017,32
2,49.2561382800013,-123.100712890139,32
3,49.2558914919211,-123.100728123166,32
2,49.270700417948,-123.150759030654,20
4,49.2707169819107,-123.151909932777,20
1,49.2707821060891,-123.151273100685,20
3,49.270799154034,-123.152475996106,20
4,49.2703277022928,-123.152411185566,20
3,49.2703179205643,-123.151867660468,20
1,49.270300058235,-123.150691195226,20
2,49.270306424291,-123.151292004805,20
1,49.219081548413,-123.085056939026,59
2,49.218973340903,-123.084436193442,59
4,49.2189642682615,-123.083266411133,59
3,49.2190691524224,-123.08381471072,59
6,49.2185996149081,-123.084003406484,58
5,49.2186100595826,-123.084691678972,58
7,49.2185923795373,-123.083436861314,58
1,49.2454818076738,-123.159649494359,23
2,49.2452593932414,-123.160012297855,23
2,49.2767597076273,-123.087264925142,08
1,49.2772138950235,-123.087392472945,08
3,49.276667111064,-123.08741980079,08
1,49.2491974906437,-123.120529552266,07
2,49.2489774598218,-123.120536752577,07
8,49.248996145598,-123.122169864391,07
7,49.249223767918,-123.12217171766,07
3,49.2492061508769,-123.121116517873,07
4,49.2489753583444,-123.121058284181,07
5,49.2492141933874,-123.121552596344,07
6,49.2489883705054,-123.121627285283,07
1,49.2484992069064,-123.120686609354,07
4,49.2485184493825,-123.121893121314,07
3,49.248508907226,-123.121353112614,07
2,49.2485037647512,-123.121119004308,07
1.5,49.2490782656595,-123.120505806848,07
2,49.2492127490204,-123.054502329759,39
2,49.2185982937126,-123.073907909292,72
3,49.2182096698598,-123.074049868263,72
1,49.2189911450929,-123.073977018975,72
4,49.207481275924,-123.124168394805,86
1,49.2075852256758,-123.124302088112,86
2,49.2080906197498,-123.12414086966,86
0.6,49.2082303695369,-123.124133517424,86
1,49.213088402546,-123.133544175158,12
1,49.2432494550787,-123.13010752938,47
2,49.2428462843597,-123.130015285351,47
11,49.2732095614074,-123.125684082943,13
6,49.2731009280425,-123.124377514742,13
8,49.2730200186887,-123.124742437968,13
4,49.2731934969292,-123.124035013881,13
7,49.2732521955727,-123.125040198861,13
10,49.2729585372514,-123.12506631869,13
3,49.2733955805975,-123.124330098617,13
12,49.2729298265206,-123.125413102042,13
9,49.2732159564455,-123.125328484222,13
14,49.272923776221,-123.125749247268,13
5,49.2733173732696,-123.124625249503,13
2,49.2732712882896,-123.123631258028,13
1,49.2734594848189,-123.124160575556,13
1,49.232749417381,-123.0727475114,66
5,49.2327408657731,-123.072010710616,66
8,49.2325676754204,-123.07165668803,66
4,49.2325750211527,-123.07238355328,66
2,49.2325787553218,-123.072754046386,66
6,49.2325713023644,-123.072015340431,66
7,49.2327368190103,-123.071661767771,66
3,49.2327451676398,-123.072381521692,66
2,49.2809872959873,-123.095329163617,04
1,49.2805387927278,-123.095496989605,04
0.5,49.2811233276513,-123.095473726705,04
0.6,49.2811183800235,-123.095299717394,04
1,49.2817425788163,-123.133515465713,12
1,49.281314503196,-123.134186772759,12
6,49.2812040082532,-123.134146448125,12
3,49.2816598936892,-123.133656767535,12
5,49.2815878549045,-123.133778023243,12
7,49.2815139405711,-123.133903095908,12
4,49.2814704004838,-123.133704076485,12
2,49.2816163069329,-123.133505568823,12
1,49.2704708108908,-123.059365483538,72
3,49.2704607810295,-123.058181084798,72
2,49.2703665576671,-123.058747412157,72
1,49.269977203986,-123.059758354157,72
2,49.269974012522,-123.059423419555,72
4,49.2699625503082,-123.058280077716,72
3,49.2699698647698,-123.058986430678,72
2,49.2276603428049,-123.178709398487,64
1,49.2281487445586,-123.178858067313,64
2,49.2890608425302,-123.059416501168,104
1,49.2886915848762,-123.059881466282,104
3,49.288579963458,-123.059113567733,104
1,49.2892185598913,-123.058596096999,104
2,49.2888887903288,-123.058857331247,104
2,49.2912107533168,-123.046514181843,106
2,49.2159289612993,-123.127142051701,76
3,49.2243067753781,-123.080163794184,65
4,49.223825923456,-123.080035417623,65
2,49.2247002973548,-123.079999336446,65
1,49.2251031353405,-123.080137751901,65
4,49.2239661794267,-123.079394132899,65
3,49.2242448566759,-123.079388481606,65
1,49.2247833263239,-123.079369540033,65
5,49.223604064881,-123.079408769508,65
2,49.2245137453912,-123.079372170896,65
0.6,49.2252170612584,-123.079993715727,65
1,49.2544709124042,-123.045051477297,78
4,49.2619974825072,-123.211698765489,45
3,49.2620741679793,-123.211019497493,45
2,49.2619703896703,-123.210442747887,45
1,49.2620569002458,-123.209688751514,45
4,49.2390202133707,-123.14786710201,18
1,49.2391126446101,-123.147059758608,18
2,49.2389956762093,-123.14643203374,18
3,49.2391946248827,-123.148712953783,18
4,49.2455818976997,-123.120413019234,44
2,49.2459364305461,-123.120400869837,44
1,49.2813015666679,-123.093260340171,55
6,49.2811126471973,-123.092469072274,55
8,49.2810976561432,-123.091968246891,55
5,49.2812912277507,-123.09245872278,55
2,49.2811190413838,-123.093287742446,55
10,49.2810912234115,-123.091630052733,55
7,49.2812832769759,-123.092040625872,55
3,49.2813017114971,-123.092913068363,55
9,49.2812706037095,-123.091620650413,55
4,49.2811098703289,-123.092813587918,55
2,49.2807001174893,-123.092718319529,55
3,49.2806931541522,-123.091954199055,55
1,49.2807211407147,-123.093108002525,55
4,49.2806843558885,-123.091649730479,55
2,49.2288414336557,-123.040771866077,60
1,49.2229888884372,-123.040213610666,81
4,49.2228909389291,-123.039483591331,81
2,49.2228991849772,-123.040887404687,81
3,49.2224904827714,-123.039260189991,81
1,49.2224991977017,-123.040283431243,81
2,49.2224930069547,-123.039770010049,81
2,49.2157833794973,-123.140136102565,77
7,49.215078968295,-123.140454225878,77
4,49.2155489033156,-123.14014775668,77
6,49.2151370057275,-123.140165527476,77
1,49.2157841168025,-123.140403028548,77
3,49.2155518585998,-123.14041783215,77
5,49.2153187959549,-123.140428404118,77
3,49.2757819695858,-123.066055902325,68
2,49.2756767872459,-123.06665397742,68
1,49.2757870838866,-123.067386880896,68
1,49.2164673668861,-123.082327153518,61
2,49.2163787926128,-123.082927636845,61
5,49.2159596619698,-123.081620653451,61
4,49.2159707371409,-123.082176093382,61
2,49.2159793591522,-123.08287483046,61
4,49.2447113630149,-123.147716405915,45
2,49.2442456469163,-123.147368650218,46
11,49.2345907946606,-123.151796194006,19
12,49.2344568723566,-123.151810619095,19
6,49.2344398974061,-123.150394619199,19
1,49.2345549554417,-123.149389575744,19
9,49.2345845628405,-123.151314790512,19
3,49.2345607295152,-123.149890249717,19
8,49.2344448646984,-123.150807156081,19
5,49.2345697208818,-123.150419203431,19
2,49.2344232075788,-123.149392186738,19
4,49.234436172957,-123.149889694264,19
7,49.2345764052451,-123.150791113854,19
10,49.2344527445434,-123.151316201093,19
14,49.2344596569032,-123.151902607477,19
13,49.2345926018832,-123.151892630289,19
2,49.290813676277,-123.043925977826,106
1,49.2708954194529,-123.215058166823,18
2,49.2534684622607,-123.102756650454,35
1,49.2530132367593,-123.102943361943,35
3,49.2528963009182,-123.101466633713,35
1,49.2534369936809,-123.101447335358,35
2,49.2531706473828,-123.101455048331,35
1,49.2643024578623,-123.079005482576,62
2,49.2641896657946,-123.078373276187,62
3,49.2642936658662,-123.077871397933,62
1,49.2637985013866,-123.078992555206,62
2,49.2637927272404,-123.078410362924,62
2.6,49.2641882165373,-123.077735667216,62
2,49.2271731553918,-123.103623654052,63
1,49.2520038552976,-123.070194698425,36
1,49.2456511576679,-123.15488764709,46
3,49.2446747474106,-123.154924341081,46
2,49.2451712265623,-123.154739394261,46
5,49.2437102203208,-123.154960562507,46
6,49.2432675140887,-123.15481034287,46
4,49.2441460059498,-123.154777696907,46
2,49.2141139030209,-123.054716667986,77
1,49.2138381534162,-123.055131253954,77
3,49.2130041388279,-123.05526082195,77
4,49.2134352153956,-123.055006172255,77
5,49.2125580816987,-123.055221096822,77
2,49.213855073241,-123.054353682692,77
1,49.2141329195682,-123.054162056847,77
2,49.2651053462571,-123.079236760132,62
4,49.2651072925571,-123.079061184146,62
12,49.2650852893299,-123.07789719229,62
11,49.2652784095933,-123.077880493627,62
3,49.2652843425356,-123.079064972017,62
5,49.265289688216,-123.078811108789,62
6,49.265107463518,-123.078810942275,62
7,49.2652801765406,-123.078459755523,62
10,49.2650873777879,-123.078014853047,62
9,49.2652793906247,-123.07802633052,62
