Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
BJ77772,Mumbai,1549.36,27,No,Extended,Grade XII,07-09-2019,Retired,Male,224756,Rural,Widowed,165,39866,9554,0.378,-3.889,1002,30,53,1,7,8,Personal,Bad,Offer 3,Branch,30092.69,Good,Biomedical scientist,Black LLC,VISA 13 digit
BV27140,Indore,4150.2,27,Yes,Premium,Grade X,02-10-2020,Retired,Male,424705,Rural,Single,212,6677,8761,0.161,-6.707,6383,41,64,0,9,7,Corporate,Average,Offer 4,Agent,60361.109,Horrible,Careers information officer,Lopez and Watson,VISA 13 digit
DD86604,Hyderabad,6283.7,31,Yes,Extended,Graduate,24-04-2020,Employed,Female,203434,Suburban,Divorced,140,37348,2765,0.889,-7.406,3439,5,2,2,5,10,Privileged,Good,Offer 4,Call Center,53519.851,Not Given,Surveyor,Clark PLC,VISA 13 digit
DX23370,Hyderabad,8443.98,25,No,Extended,Master,25-01-2019,Retired,Female,231795,Suburban,Married,188,24411,6326,0.383,-3.783,310,6,11,0,1,17,Personal,Excellent,Offer 1,Agent,57777.237,Horrible,Embryologist,Mccarthy-Fernandez,VISA 16 digit
DX26097,Delhi,9256.14,32,No,Premium,Grade XII,27-03-2019,Unemployed,Male,293922,Urban,Divorced,180,6881,5887,0.377,1.775,5220,7,95,2,3,15,Corporate,Bad,Offer 1,Branch,85001.424,Not Given,Scientist,King and Boyd,Mastercard
EK81585,Kolkata,1587.08,27,Yes,Extended,PhD,04-02-2020,Unemployed,Female,32844,Suburban,Divorced,38,35125,5089,0.142,0.557,5700,14,88,2,4,7,Personal,Excellent,Offer 3,Call Center,47711.702,Satisfactory,Osteopath,Blake Ltd,VISA 16 digit
FK72570,Kolkata,6118.62,31,No,Extended,PhD,14-06-2020,Unemployed,Male,67919,Rural,Widowed,236,43233,478,0.823,-3.292,7758,46,23,1,7,14,Privileged,Excellent,Offer 4,Other,94910.008,Satisfactory,Firefighter,Valencia-Davis,VISA 13 digit
GX63070,Delhi,1648.53,40,Yes,Basic,Diploma,21-10-2018,Employed,Male,126918,Urban,Single,216,30560,7278,0.078,5.867,8262,47,70,0,7,7,Personal,Excellent,Offer 1,Branch,94291.56,Satisfactory,Computer games developer,Myers-Scott,Mastercard
GZ64862,Bhopal,7239.27,40,Yes,Premium,Diploma,22-10-2018,Retired,Female,59417,Rural,Widowed,104,34462,8720,0.347,-6.597,1202,41,55,1,1,13,Corporate,Good,Offer 4,Agent,54608.692,Good,Retail manager,Williams LLC,Diners Club / Carte Blanche
HH96961,Mumbai,7829.77,32,No,Extended,Grade XII,17-06-2019,Unemployed,Male,275809,Urban,Married,183,18601,2584,0.933,1.234,7375,42,27,1,1,14,Special,Good,Offer 4,Agent,72598.36,Excellent,Nurse,Mason and Henson,Mastercard
HI91875,Bengaluru,3748.85,32,No,Extended,Graduate,15-02-2020,Retired,Female,20069,Urban,Divorced,202,30649,3435,0.402,-0.909,3302,48,57,2,3,15,Special,Good,Offer 1,Call Center,86992.191,Excellent,Police officer,Burch and Simmons,VISA 13 digit
IU87660,Delhi,2737.98,31,No,Premium,Grade X,01-08-2019,On leave,Male,226690,Suburban,Single,146,19346,6194,0.107,7.186,5574,26,84,1,5,9,Special,Good,Offer 4,Other,39718.264,Horrible,Phytotherapist,Brown and Ray,Discover
JL85836,Delhi,4598.32,33,Yes,Premium,Grade XII,02-03-2020,On leave,Male,169367,Urban,Divorced,81,30298,3792,0.041,-2.974,4151,40,77,0,2,15,Personal,Bad,Offer 3,Branch,23754.799,Not Given,Equality and diversity officer,Ruiz-Phelps,JCB 16 digit
LB18456,Bengaluru,8993.45,40,No,Basic,Grade XII,08-01-2019,Employed,Female,392815,Urban,Single,125,46657,9470,0.209,0.25,4929,8,7,1,3,8,Privileged,Excellent,Offer 4,Branch,25964.402,Not Given,Conservator,Robinson Ltd,JCB 16 digit
LB64915,Mumbai,9362.73,38,Yes,Extended,PhD,10-05-2019,Unemployed,Male,199831,Suburban,Single,109,31019,1011,0.522,1.394,4133,1,68,2,4,14,Privileged,Average,Offer 3,Agent,16083.858,Excellent,Civil engineer,Saunders and Myers,Discover
LP20740,Chennai,1009.98,49,Yes,Premium,Master,15-07-2020,Retired,Male,470998,Suburban,Single,74,45242,4700,0.255,6.11,9761,33,82,1,4,12,Special,Excellent,Offer 1,Call Center,70902.768,Horrible,Administrator,Dean-Price,VISA 16 digit
LX83206,Kolkata,3594.11,45,Yes,Extended,Grade X,12-08-2020,Retired,Female,270681,Rural,Single,50,27148,2588,0.634,-7.457,156,23,34,0,8,17,Corporate,Good,Offer 2,Online,37110.251,Excellent,Editor,Morris and Clayton,VISA 16 digit
MM62062,Bhopal,1513.28,29,Yes,Basic,Grade X,30-11-2018,On leave,Female,342147,Suburban,Widowed,92,40220,2192,0.18,-7.699,7947,19,86,1,3,4,Special,Average,Offer 3,Agent,72119.763,Horrible,Social worker,Jones Group,Mastercard
MS73171,Delhi,8057.09,25,No,Premium,PhD,27-09-2020,On leave,Female,384063,Suburban,Widowed,109,7925,7115,0.394,2.991,5184,35,48,0,0,9,Special,Excellent,Offer 1,Online,10609.666,Horrible,Community arts worker,Smith and Sons,JCB 16 digit
OL41975,Bengaluru,2765.61,44,No,Premium,Graduate,26-04-2019,Retired,Female,439340,Urban,Divorced,124,15435,2501,0.175,8.64,9839,36,66,2,0,4,Privileged,Bad,Offer 1,Call Center,35733.89,Satisfactory,Cabin crew,Kramer-Lopez,JCB 16 digit
PB52559,Bhopal,8479.11,47,Yes,Premium,Graduate,05-06-2020,Unemployed,Male,462275,Suburban,Single,105,43492,1149,0.534,-2.212,3754,44,41,2,9,8,Personal,Excellent,Offer 3,Branch,69341.997,Horrible,Food technologist,Beasley-Graham,VISA 19 digit
PD63367,Bhopal,9473.37,46,No,Basic,Graduate,19-09-2019,Retired,Male,415501,Rural,Divorced,108,17394,6075,0.162,6.547,1363,21,12,1,5,6,Personal,Good,Offer 1,Agent,82291.471,Excellent,Scientist,Holmes and Williams,VISA 16 digit
