Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider,Education
CF15071,Chennai,5182.9,27,Yes,Basic,21-08-2018,Employed,Male,88007,Urban,Widowed,233,30393,4188,0.734,0.715,1598,18,55,0,2,13,Corporate,Excellent,Offer 2,Other,39565.507,Excellent,Insurance broker,Hoffman LLC,VISA 16 digit,Graduate
CP45498,Pune,2487.44,43,No,Basic,22-12-2020,Unemployed,Female,392037,Urban,Single,68,25552,5535,0.987,7.916,8511,8,92,1,4,4,Corporate,Good,Offer 4,Branch,90278.463,Average,Magazine features editor,Ward and Rice,Discover,Grade XII
GH17700,Kolkata,6856.15,45,No,Basic,13-09-2019,Retired,Male,71512,Suburban,Married,78,49068,5828,0.977,-7.184,5603,25,34,1,1,11,Personal,Average,Offer 4,Other,61447.61,Bad,Scientist,Johnson Inc,American Express,PhD
GR55787,Bengaluru,7805.54,37,No,Basic,08-05-2019,Retired,Female,333630,Urban,Married,125,16667,9543,0.735,-3.985,7623,14,25,2,5,11,Corporate,Excellent,Offer 3,Online,43840.157,Not Given,Medical physicist,Dickerson and Bates,JCB 16 digit,PhD
HO30596,Bhopal,2191.28,28,Yes,Basic,04-10-2018,Employed,Female,358434,Suburban,Married,93,39726,7767,0.134,-0.794,1164,38,18,1,9,9,Privileged,Average,Offer 3,Agent,18663.599,Good,Best boy,Walton and Garcia,JCB 16 digit,PhD
IG45345,Pune,2651.61,50,No,Basic,16-05-2019,Employed,Female,442317,Suburban,Married,220,13368,1323,0.272,-1.042,8085,11,26,2,2,5,Special,Good,Offer 1,Other,91506.097,Good,Electronics engineer,Armstrong and Sons,Diners Club / Carte Blanche,Master
JJ22950,Chennai,8931.1,30,Yes,Extended,16-06-2019,Unemployed,Female,236562,Rural,Divorced,55,23348,5749,0.298,-5.107,5562,45,58,0,5,11,Special,Excellent,Offer 2,Agent,35075.683,Average,Editor,Irwin and Sons,Mastercard,Grade XII
NM95686,Bengaluru,9604.31,44,No,Extended,19-05-2020,Retired,Female,157564,Suburban,Divorced,170,7530,9355,0.374,0.989,2892,10,72,0,9,4,Privileged,Good,Offer 1,Agent,31482.147,Horrible,Ship broker,Branch Group,VISA 16 digit,Grade X
NV68421,Delhi,9735.68,33,No,Premium,24-06-2020,Retired,Female,162357,Urban,Divorced,228,36888,4123,0.882,0.322,1093,21,71,1,4,11,Privileged,Bad,Offer 1,Agent,90293.363,Horrible,Herbalist,Webb and Holloway,Diners Club / Carte Blanche,Master
OZ20388,Bengaluru,8176.14,47,No,Extended,26-12-2018,Retired,Male,199431,Suburban,Single,189,13586,2284,0.67,6.26,3320,32,37,0,0,15,Corporate,Good,Offer 4,Agent,61598.136,Good,Horticulturist,White and Curtis,Mastercard,Diploma
QM71339,Bengaluru,2406.3,47,No,Premium,05-11-2019,On leave,Female,399476,Suburban,Single,218,47783,2830,0.334,0.037,3031,3,27,1,8,4,Special,Bad,Offer 3,Branch,42108.81,Good,Merchandiser,Thomas and Johnston,Diners Club / Carte Blanche,Graduate
